"(x,y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(1, 80)",2017,08,8,123,130,Improved,1985,2731
"(1, 81)",2017,08,8,123,130,Improved,1985,2731
"(1, 82)",2017,08,8,123,130,Improved,1985,2731
"(1, 83)",2017,08,8,123,130,Improved,1985,2731
"(1, 84)",2017,08,8,123,130,Improved,1985,2731
"(1, 85)",2017,08,8,123,130,Improved,1985,2731
"(1, 86)",2017,08,8,123,130,Improved,1985,2731
"(1, 87)",2017,08,8,123,130,Improved,1985,2731
"(1, 88)",2017,08,8,123,130,Improved,1985,2731
"(1, 89)",2017,08,8,123,130,Improved,1985,2731
"(1, 90)",2017,08,8,123,130,Improved,1985,2731
"(1, 91)",2017,08,8,123,130,Improved,1985,2731
"(1, 92)",2017,08,8,123,130,Improved,1985,2731
"(1, 93)",2017,08,8,123,130,Improved,1985,2731
"(1, 94)",2017,08,8,123,130,Improved,1985,2731
"(1, 95)",2017,08,8,123,130,Improved,1985,2731
"(1, 96)",2017,08,8,123,130,Improved,1985,2731
"(1, 97)",2017,08,8,123,130,Improved,1985,2731
"(1, 98)",2017,08,8,123,130,Improved,1985,2731
"(1, 99)",2017,08,8,123,130,Improved,1985,2731
"(1, 100)",2017,08,8,123,130,Improved,1985,2731
"(1, 101)",2017,08,8,123,130,Improved,1985,2731
"(1, 102)",2017,08,8,123,130,Improved,1985,2731
"(1, 103)",2017,08,8,123,130,Improved,1985,2731
"(1, 104)",2017,08,8,123,130,Improved,1985,2731
"(1, 105)",2017,08,8,123,130,Improved,1985,2731
"(1, 106)",2017,08,8,123,130,Improved,1985,2731
"(1, 107)",2017,08,8,123,130,Improved,1985,2731
"(1, 108)",2017,08,8,123,130,Improved,1985,2731
"(1, 109)",2017,08,8,123,130,Improved,1985,2731
"(1, 110)",2017,08,8,123,130,Improved,1985,2731
"(1, 111)",2017,08,8,123,130,Improved,1985,2731
"(1, 112)",2017,08,8,123,130,Improved,1985,2731
"(1, 113)",2017,08,8,123,130,Improved,1985,2731
"(1, 114)",2017,08,8,123,130,Improved,1985,2731
"(1, 115)",2017,08,8,123,130,Improved,1985,2731
"(1, 116)",2017,08,8,123,130,Improved,1985,2731
"(1, 117)",2017,08,8,123,130,Improved,1985,2731
"(1, 118)",2017,08,8,123,130,Improved,1985,2731
"(1, 119)",2017,08,8,123,130,Improved,1985,2731
"(1, 120)",2017,08,8,123,130,Improved,1985,2731
"(1, 121)",2017,08,8,123,130,Improved,1985,2731
"(1, 122)",2017,08,8,123,130,Improved,1985,2731
"(1, 123)",2017,08,8,123,130,Improved,1985,2731
"(1, 124)",2017,08,8,123,130,Improved,1985,2731
"(1, 125)",2017,08,8,123,130,Improved,1985,2731
"(1, 126)",2017,08,8,123,130,Improved,1985,2731
"(1, 127)",2017,08,8,123,130,Improved,1985,2731
"(1, 128)",2017,08,8,123,130,Improved,1985,2731
"(1, 129)",2017,08,8,123,130,Improved,1985,2731
"(1, 130)",2017,08,8,123,130,Improved,1985,2731
"(1, 131)",2017,08,8,403,137,Model A,1995,3285
"(1, 132)",2017,08,8,403,137,Model A,1995,3285
"(1, 133)",2017,08,8,403,137,Model A,1995,3285
"(1, 134)",2017,08,8,403,137,Model A,1995,3285
"(1, 135)",2017,08,8,403,137,Model A,1995,3285
"(1, 136)",2017,08,8,403,137,Model A,1995,3285
"(1, 137)",2017,08,8,403,137,Model A,1995,3285
"(1, 138)",2017,08,8,789,143,Apartment,1997,3566
"(1, 139)",2017,08,8,789,143,Apartment,1997,3566
"(1, 140)",2017,08,8,789,143,Apartment,1997,3566
"(1, 141)",2017,08,8,789,143,Apartment,1997,3566
"(1, 142)",2017,08,8,789,143,Apartment,1997,3566
"(1, 143)",2017,08,8,789,143,Apartment,1997,3566
"(1, 144)",2017,08,8,341,176,Apartment,1995,3682
"(1, 145)",2017,08,8,341,176,Apartment,1995,3682
"(1, 146)",2017,08,8,341,176,Apartment,1995,3682
"(1, 147)",2017,08,8,341,176,Apartment,1995,3682
"(1, 148)",2017,08,8,341,176,Apartment,1995,3682
"(1, 149)",2017,08,8,341,176,Apartment,1995,3682
"(1, 150)",2017,08,8,341,176,Apartment,1995,3682
"(2, 80)",2017,08,8,123,130,Improved,1985,2731
"(2, 81)",2017,08,8,123,130,Improved,1985,2731
"(2, 82)",2017,08,8,123,130,Improved,1985,2731
"(2, 83)",2017,08,8,123,130,Improved,1985,2731
"(2, 84)",2017,08,8,123,130,Improved,1985,2731
"(2, 85)",2017,08,8,123,130,Improved,1985,2731
"(2, 86)",2017,08,8,123,130,Improved,1985,2731
"(2, 87)",2017,08,8,123,130,Improved,1985,2731
"(2, 88)",2017,08,8,123,130,Improved,1985,2731
"(2, 89)",2017,08,8,123,130,Improved,1985,2731
"(2, 90)",2017,08,8,123,130,Improved,1985,2731
"(2, 91)",2017,08,8,123,130,Improved,1985,2731
"(2, 92)",2017,08,8,123,130,Improved,1985,2731
"(2, 93)",2017,08,8,123,130,Improved,1985,2731
"(2, 94)",2017,08,8,123,130,Improved,1985,2731
"(2, 95)",2017,08,8,123,130,Improved,1985,2731
"(2, 96)",2017,08,8,123,130,Improved,1985,2731
"(2, 97)",2017,08,8,123,130,Improved,1985,2731
"(2, 98)",2017,08,8,123,130,Improved,1985,2731
"(2, 99)",2017,08,8,123,130,Improved,1985,2731
"(2, 100)",2017,08,8,123,130,Improved,1985,2731
"(2, 101)",2017,08,8,123,130,Improved,1985,2731
"(2, 102)",2017,08,8,123,130,Improved,1985,2731
"(2, 103)",2017,08,8,123,130,Improved,1985,2731
"(2, 104)",2017,08,8,123,130,Improved,1985,2731
"(2, 105)",2017,08,8,123,130,Improved,1985,2731
"(2, 106)",2017,08,8,123,130,Improved,1985,2731
"(2, 107)",2017,08,8,123,130,Improved,1985,2731
"(2, 108)",2017,08,8,123,130,Improved,1985,2731
"(2, 109)",2017,08,8,123,130,Improved,1985,2731
"(2, 110)",2017,08,8,123,130,Improved,1985,2731
"(2, 111)",2017,08,8,123,130,Improved,1985,2731
"(2, 112)",2017,08,8,123,130,Improved,1985,2731
"(2, 113)",2017,08,8,123,130,Improved,1985,2731
"(2, 114)",2017,08,8,123,130,Improved,1985,2731
"(2, 115)",2017,08,8,123,130,Improved,1985,2731
"(2, 116)",2017,08,8,123,130,Improved,1985,2731
"(2, 117)",2017,08,8,123,130,Improved,1985,2731
"(2, 118)",2017,08,8,123,130,Improved,1985,2731
"(2, 119)",2017,08,8,123,130,Improved,1985,2731
"(2, 120)",2017,08,8,123,130,Improved,1985,2731
"(2, 121)",2017,08,8,123,130,Improved,1985,2731
"(2, 122)",2017,08,8,123,130,Improved,1985,2731
"(2, 123)",2017,08,8,123,130,Improved,1985,2731
"(2, 124)",2017,08,8,123,130,Improved,1985,2731
"(2, 125)",2017,08,8,123,130,Improved,1985,2731
"(2, 126)",2017,08,8,123,130,Improved,1985,2731
"(2, 127)",2017,08,8,123,130,Improved,1985,2731
